Algorithm,JSM,F-15,JSM-tet,F-15-tet
S-Classifier,788.1481,2215.522,977.0831000000001,2677.577
P-Classifier,73.19269,91.97295,128.5874,239.6265
S-Hash-MinPointID,45.84518,55.401239999999994,77.20857,123.82239999999999
P-Hash-MinPointID,37.060520000000004,60.911030000000004,65.42076,125.4682
DP-Hash-Sort-FNV1A,130.1575,296.8588,220.4933,542.0669
DP-Hash-Sort-MinPointID,68.10318,114.8098,125.0952,276.59270000000004
DP-Hash-Fight-FNV1A,122.34880000000001,263.3328,222.4007,577.019
DP-Hash-Fight-MinPointID,193.2005,229.69940000000003,343.2263,706.0695
DP-Hash-Count-FNV1A,79.82322,181.0856,109.12010000000001,283.9291
DP-Hash-Count-MinPointID,24.32245,39.79376,35.57362,73.70351
