Algorithm,JSM,F-15,JSM-tet,F-15-tet
S-Classifier,5.628353118896484,12.401493072509766,9.681869506835938,22.40204620361328
P-Classifier,5.758220672607422,12.705944061279297,9.818473815917969,22.723339080810547
S-Hash-MinPointID,16.638782501220703,36.08141326904297,32.12014389038086,74.34965133666992
P-Hash-MinPointID,17.035648345947266,36.972774505615234,32.516963958740234,75.24398422241211
DP-Hash-Sort-FNV1A,27.50330352783203,58.6805534362793,58.046241760253906,134.33868026733398
DP-Hash-Sort-MinPointID,27.50333023071289,58.680686950683594,58.04625701904297,134.2334098815918
DP-Hash-Fight-FNV1A,29.046810150146484,62.02395248413086,61.346588134765625,133.17388534545898
DP-Hash-Fight-MinPointID,23.9608154296875,51.05711364746094,50.9719123840332,117.9799919128418
DP-Hash-Count-FNV1A,7.803318023681641,16.67505645751953,16.18988037109375,37.468505859375
DP-Hash-Count-MinPointID,7.803340911865234,16.675079345703125,16.189884185791016,37.46852493286133
