Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
S-Classifier,265.74,8.55,788.48,32.47,2253.55,56.75,169.86,5.08,974.73,27.40,2680.16,36.40
P-Classifier,163.99,5.28,78.98,3.25,108.90,2.74,104.09,3.11,150.72,4.24,290.11,3.94
S-Hash-MinPointID,136.72,4.40,44.74,1.84,54.46,1.37,33.45,1.00,74.22,2.09,122.54,1.66
P-Hash-MinPointID,96.82,3.12,37.08,1.53,58.22,1.47,53.12,1.59,65.13,1.83,127.54,1.73
DP-Hash-Sort-FNV1A,83.11,2.67,129.34,5.33,291.31,7.34,335.40,10.03,213.84,6.01,540.52,7.34
DP-Hash-Sort-MinPointID,85.09,2.74,58.57,2.41,106.32,2.68,88.30,2.64,106.17,2.98,242.80,3.30
DP-Hash-Fight-FNV1A,102.49,3.30,121.16,4.99,251.51,6.33,285.56,8.54,210.38,5.91,536.53,7.29
DP-Hash-Fight-MinPointID,433.52,13.95,180.77,7.44,209.20,5.27,84.93,2.54,309.09,8.69,651.62,8.85
DP-Hash-Count-FNV1A,45.10,1.45,76.96,3.17,177.74,4.48,178.32,5.33,106.35,2.99,279.69,3.80
DP-Hash-Count-MinPointID,31.08,1.00,24.28,1.00,39.71,1.00,33.50,1.00,35.57,1.00,73.64,1.00
