Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
S-Classifier,4.31,1.00,5.63,1.00,12.40,1.00,18.65,1.00,9.68,1.00,22.40,1.00
P-Classifier,4.71,1.10,5.76,1.02,12.71,1.02,18.88,1.01,9.82,1.01,22.74,1.01
S-Hash-MinPointID,13.40,3.11,16.62,2.95,36.08,2.91,48.64,2.61,32.12,3.32,74.35,3.32
P-Hash-MinPointID,13.77,3.20,17.03,3.03,36.97,2.98,50.57,2.71,32.51,3.36,75.24,3.36
DP-Hash-Sort-FNV1A,22.97,5.33,27.50,4.89,58.68,4.73,72.66,3.90,58.04,6.00,134.34,6.00
DP-Hash-Sort-MinPointID,22.97,5.33,27.50,4.89,58.68,4.73,72.66,3.90,58.04,6.00,134.34,6.00
DP-Hash-Fight-FNV1A,24.26,5.63,29.05,5.16,62.02,5.00,76.61,4.11,61.34,6.34,133.17,5.94
DP-Hash-Fight-MinPointID,20.20,4.69,23.96,4.26,51.06,4.12,62.41,3.35,50.97,5.27,117.98,5.27
DP-Hash-Count-FNV1A,6.42,1.49,7.80,1.39,16.67,1.34,21.44,1.15,16.19,1.67,37.47,1.67
DP-Hash-Count-MinPointID,6.42,1.49,7.80,1.39,16.67,1.34,21.44,1.15,16.19,1.67,37.47,1.67
